共 1000 条请求，成功 1000，失败 0

===== 汇总（仅成功请求） =====
  latency（端到端）                 n=1000 mean=208067.98ms  p50=220137.88  p90=344855.86  p99=400388.15  min=  2912.29  max=449143.58
  P端prefill+网络（推算）             n=1000 mean=185757.54ms  p50=198747.92  p90=325959.18  p99=353952.75  min=    44.76  max=355494.03
  D端总耗时（排队+decode）             n=1000 mean= 22310.44ms  p50= 10498.70  p90= 52457.27  p99=138767.08  min=  2854.96  max=140239.99
  D端排队+调度（推算）                  n=1000 mean=   104.57ms  p50=    73.99  p90=   195.61  p99=   421.25  min=    24.37  max=   489.84
  D端排队占比                       n=1000 mean=     0.80%  p50=     0.66  p90=     1.38  p99=     1.84  min=     0.27  max=     2.08
  D端GPU decode（纯算）             n=1000 mean= 22205.87ms  p50= 10428.69  p90= 52291.30  p99=138318.42  min=  2818.89  max=139753.37
  轮均GPU耗时                      无数据

===== 逐轮 GPU forward 耗时分布（所有请求合并） =====
  每轮 forward                   无数据

===== 逐请求明细 =====
 idx   latency     P端(推算)       D端总       排队     排队%       GPU    轮数       轮均
 108   71620.3    18241.9   53378.4    164.3    0.3%   53214.1     0     0.00
 109   23017.4    19454.9    3562.6     55.4    1.6%    3507.1     0     0.00
 110   37746.4    18999.9   18746.5    103.5    0.6%   18643.0     0     0.00
 111   22409.4    18822.1    3587.3     53.1    1.5%    3534.3     0     0.00
 112   22103.7    18552.0    3551.7     51.4    1.4%    3500.3     0     0.00
 113   22120.0    18571.0    3549.0     48.9    1.4%    3500.1     0     0.00
 114   28215.4    18473.7    9741.6     73.9    0.8%    9667.7     0     0.00
 115   36829.0    18377.1   18451.9     96.1    0.5%   18355.8     0     0.00
 116   60434.6    18037.1   42397.5    129.6    0.3%   42267.9     0     0.00
 117   20637.5    17083.4    3554.1     49.1    1.4%    3505.0     0     0.00
 118   19836.5    16282.4    3554.0     49.0    1.4%    3505.0     0     0.00
 119   49380.3    15582.6   33797.7    109.6    0.3%   33688.1     0     0.00
 120   18288.7    14733.9    3554.8     49.1    1.4%    3505.7     0     0.00
 121  154580.0    14620.6  139959.4    421.2    0.3%  139538.2     0     0.00
 122   62024.5    13795.3   48229.2    137.3    0.3%   48091.9     0     0.00
 123   59401.2    13269.7   46131.5    131.8    0.3%   45999.7     0     0.00
 124  138964.1    14212.3  124751.9    365.4    0.3%  124386.5     0     0.00
 125   21653.5    16411.0    5242.5     57.0    1.1%    5185.5     0     0.00
 126   29803.2    16441.4   13361.7     73.1    0.5%   13288.6     0     0.00
 127   52107.8    15802.2   36305.6    105.1    0.3%   36200.5     0     0.00
 128   71110.9    15755.3   55355.6    156.4    0.3%   55199.2     0     0.00
 129   70911.3    15695.0   55216.3    153.9    0.3%   55062.4     0     0.00
 130   52050.9    15305.8   36745.1    103.5    0.3%   36641.6     0     0.00
 131   49860.0    15963.2   33896.9     95.7    0.3%   33801.2     0     0.00
 132   78246.6    15989.2   62257.4    173.4    0.3%   62084.0     0     0.00
 133   36235.3    16064.8   20170.5     63.9    0.3%   20106.6     0     0.00
 134   25174.5    21641.5    3532.9     40.0    1.1%    3492.9     0     0.00
 135   62860.6    59275.6    3585.0     42.4    1.2%    3542.6     0     0.00
 136   62735.6    59152.0    3583.5     41.3    1.2%    3542.2     0     0.00
 137   75707.5    61285.8   14421.7     77.7    0.5%   14344.0     0     0.00
 138   71532.1    61876.8    9655.3     64.5    0.7%    9590.8     0     0.00
 139   66214.7    61714.7    4500.0     48.7    1.1%    4451.3     0     0.00
 140   69994.4    62091.4    7903.0     58.8    0.7%    7844.2     0     0.00
 141   86416.6    62114.7   24301.9    104.2    0.4%   24197.8     0     0.00
 142   66389.6    61866.8    4522.7     46.9    1.0%    4475.9     0     0.00
 143   71237.2    61595.5    9641.7     61.6    0.6%    9580.1     0     0.00
 144   67044.0    62802.2    4241.8     47.2    1.1%    4194.6     0     0.00
 145   75024.3    62782.4   12241.8     69.9    0.6%   12171.9     0     0.00
 146   73664.6    61630.1   12034.5     68.5    0.6%   11966.0     0     0.00
 147  125798.2    61651.1   64147.1    203.9    0.3%   63943.1     0     0.00
 148   89515.6    61536.2   27979.5    114.0    0.4%   27865.4     0     0.00
 149   73962.0    61070.5   12891.6     73.3    0.6%   12818.3     0     0.00
 150   69025.9    60254.1    8771.8     57.8    0.7%    8714.0     0     0.00
 151   72455.1    64452.7    8002.4     58.8    0.7%    7943.5     0     0.00
 152  107842.3    64477.6   43364.6    151.5    0.3%   43213.1     0     0.00
 153   68177.6    64503.3    3674.3     43.0    1.2%    3631.3     0     0.00
 154   73058.4    63865.8    9192.6     62.3    0.7%    9130.3     0     0.00
 155   82828.8    63779.9   19048.9     87.0    0.5%   18961.9     0     0.00
 156   68523.0    63205.0    5318.0     47.5    0.9%    5270.5     0     0.00
 157   75387.5    66379.9    9007.7     61.6    0.7%    8946.1     0     0.00
 158   83237.5    66739.5   16498.0     81.7    0.5%   16416.3     0     0.00
 159   76872.0    69467.6    7404.5     56.2    0.8%    7348.3     0     0.00
 160   88894.4    67781.6   21112.8     92.9    0.4%   21019.8     0     0.00
 161   88805.0    67017.7   21787.4    114.6    0.5%   21672.8     0     0.00
 162  114888.2    66999.7   47888.5    154.7    0.3%   47733.8     0     0.00
 163  122750.2    66871.2   55879.0    178.6    0.3%   55700.4     0     0.00
 164  108575.6    66350.9   42224.7    141.3    0.3%   42083.4     0     0.00
 165   83963.5    66132.5   17831.1     80.7    0.5%   17750.4     0     0.00
 166   69387.7    65704.9    3682.7     44.0    1.2%    3638.8     0     0.00
 167   69847.0    66158.3    3688.7     43.3    1.2%    3645.4     0     0.00
 168   75225.1    66340.0    8885.0     73.2    0.8%    8811.8     0     0.00
 169  109084.9    72215.2   36869.6    125.4    0.3%   36744.2     0     0.00
 170   80849.7    72037.9    8811.8     58.0    0.7%    8753.7     0     0.00
 171   76078.3    70353.3    5725.0     49.1    0.9%    5676.0     0     0.00
 172   79321.9    69308.8   10013.2     59.4    0.6%    9953.8     0     0.00
 173  135143.0    69094.0   66049.1    239.2    0.4%   65809.9     0     0.00
 174   71896.0    68150.7    3745.2     42.0    1.1%    3703.2     0     0.00
 175   71709.8    67964.7    3745.2     42.0    1.1%    3703.2     0     0.00
 176  115749.4    70410.6   45338.8    169.0    0.4%   45169.9     0     0.00
 177  141211.4    69766.2   71445.2    265.8    0.4%   71179.4     0     0.00
 178   90636.2    69530.5   21105.7     87.6    0.4%   21018.2     0     0.00
 179  117084.8    71364.7   45720.1    169.9    0.4%   45550.2     0     0.00
 180  108233.3    76098.4   32134.9    132.0    0.4%   32002.9     0     0.00
 181   83967.0    75078.9    8888.0     57.9    0.7%    8830.1     0     0.00
 182   85322.2    77855.9    7466.3     53.0    0.7%    7413.3     0     0.00
 183  120657.0    77035.0   43622.0    172.2    0.4%   43449.8     0     0.00
 184   79999.3    75397.6    4601.7     63.6    1.4%    4538.1     0     0.00
 185   82820.4    74974.4    7846.0     52.9    0.7%    7793.1     0     0.00
 186  108876.0    74881.0   33994.9    134.8    0.4%   33860.2     0     0.00
 187  120339.8    73903.3   46436.5    180.8    0.4%   46255.6     0     0.00
 188   75847.2    72083.6    3763.6     60.5    1.6%    3703.1     0     0.00
 189   82406.3    71474.8   10931.5     59.1    0.5%   10872.4     0     0.00
 190  112369.1    71826.8   40542.3    142.9    0.4%   40399.4     0     0.00
 191  103613.7    95768.0    7845.7     74.8    1.0%    7770.9     0     0.00
 192  124209.6    95588.0   28621.5    148.3    0.5%   28473.2     0     0.00
 193  101377.3    97639.5    3737.8     43.2    1.2%    3694.6     0     0.00
 194  100850.7    97112.1    3738.6     44.8    1.2%    3693.8     0     0.00
 195  133435.0    97003.6   36431.4    185.4    0.5%   36246.1     0     0.00
 196  120443.0    97068.6   23374.4    126.9    0.5%   23247.5     0     0.00
 197  100771.7    97013.0    3758.7     62.9    1.7%    3695.8     0     0.00
 198  109347.7    96464.1   12883.6     91.8    0.7%   12791.8     0     0.00
 199  105213.2    96285.9    8927.3     77.9    0.9%    8849.4     0     0.00
 200  119070.1    95942.2   23128.0    126.6    0.5%   23001.4     0     0.00
 201  121419.3    95743.0   25676.3    138.4    0.5%   25537.9     0     0.00
 202  134385.7    94717.7   39668.0    197.8    0.5%   39470.2     0     0.00
 203  100937.7    97168.5    3769.2     44.5    1.2%    3724.7     0     0.00
 204  124534.1    97156.9   27377.2    149.8    0.5%   27227.4     0     0.00
 205  107031.7    97082.9    9948.8     84.8    0.9%    9864.0     0     0.00
 206  106831.3    96882.6    9948.7     84.8    0.9%    9864.0     0     0.00
 207  126653.2    94709.3   31943.9    167.4    0.5%   31776.5     0     0.00
 208   97888.3    94142.3    3746.0     25.0    0.7%    3721.0     0     0.00
 209  101427.3    97749.8    3677.6     67.4    1.8%    3610.2     0     0.00
 210  148930.3    97665.9   51264.4    222.2    0.4%   51042.2     0     0.00
 211  102109.2    97104.8    5004.4     69.9    1.4%    4934.5     0     0.00
 212  114490.8    96229.3   18261.5    118.0    0.6%   18143.5     0     0.00
 213  120876.8    94884.1   25992.7    145.2    0.6%   25847.5     0     0.00
 214  104790.1    95216.6    9573.5     70.6    0.7%    9502.8     0     0.00
 215  148600.3    94143.9   54456.4    232.1    0.4%   54224.3     0     0.00
 216   97194.3    93564.6    3629.7     48.3    1.3%    3581.4     0     0.00
 217   99295.8    95662.3    3633.5     49.5    1.4%    3584.0     0     0.00
 218  129781.9    93614.1   36167.8    171.6    0.5%   35996.2     0     0.00
 219  118626.5    93480.4   25146.1    131.3    0.5%   25014.8     0     0.00
 220   96466.0    92870.7    3595.3     47.0    1.3%    3548.3     0     0.00
 221  170314.5    92860.9   77453.7    267.6    0.3%   77186.1     0     0.00
 222  103846.3    92734.4   11112.0     70.9    0.6%   11041.0     0     0.00
 223   95119.6    91524.4    3595.2     46.9    1.3%    3548.3     0     0.00
 224   94999.6    91404.5    3595.2     46.8    1.3%    3548.3     0     0.00
 225  125669.2    90727.0   34942.2    163.6    0.5%   34778.6     0     0.00
 226   96036.2    92427.6    3608.6     47.9    1.3%    3560.7     0     0.00
 227  157927.1    92209.3   65717.8    233.6    0.4%   65484.2     0     0.00
 228  111445.9    91976.6   19469.3    102.4    0.5%   19366.9     0     0.00
 229   95547.9    91937.9    3610.0     46.6    1.3%    3563.5     0     0.00
 230   95375.5    91765.6    3610.0     46.5    1.3%    3563.5     0     0.00
 231  157813.4    90788.4   67025.0    236.6    0.4%   66788.4     0     0.00
 232  125807.3    90894.5   34912.9    163.1    0.5%   34749.8     0     0.00
 233  163943.5    89385.5   74558.0    273.4    0.4%   74284.5     0     0.00
 234  225615.6    88295.2  137320.5    417.9    0.3%  136902.6     0     0.00
 235   97250.6    89957.8    7292.8     53.1    0.7%    7239.7     0     0.00
 236  100272.9    90895.0    9377.9     67.9    0.7%    9310.0     0     0.00
 237   95725.5    91209.9    4515.7     45.3    1.0%    4470.4     0     0.00
 238   95976.5    92329.6    3646.9     42.1    1.2%    3604.8     0     0.00
 239  105233.9    96787.6    8446.2     83.9    1.0%    8362.3     0     0.00
 240  233250.3    95837.0  137413.3    413.3    0.3%  137000.0     0     0.00
 241  136405.9    95059.7   41346.2    165.8    0.4%   41180.5     0     0.00
 242  105755.3    95533.9   10221.4     77.2    0.8%   10144.2     0     0.00
 243  104446.1    95325.3    9120.8     70.5    0.8%    9050.3     0     0.00
 244  104547.3    94848.7    9698.6     73.6    0.8%    9625.0     0     0.00
 245  107794.5    94087.1   13707.4     94.3    0.7%   13613.2     0     0.00
 246   98287.9    93850.2    4437.7     53.9    1.2%    4383.8     0     0.00
 247  100591.4    93461.4    7130.0     57.4    0.8%    7072.6     0     0.00
 248   97032.4    93401.9    3630.6     47.0    1.3%    3583.6     0     0.00
 249  136752.2    93358.7   43393.4    164.2    0.4%   43229.3     0     0.00
 250   97639.6    93236.8    4402.8     49.2    1.1%    4353.5     0     0.00
 251   96531.9    92129.2    4402.7     49.2    1.1%    4353.5     0     0.00
 252  136114.2    91714.1   44400.1    165.6    0.4%   44234.5     0     0.00
 253   94687.4    91083.2    3604.2     46.0    1.3%    3558.2     0     0.00
 254   94674.2    91075.9    3598.3     44.2    1.2%    3554.1     0     0.00
 255  117496.7    90981.3   26515.4    132.6    0.5%   26382.7     0     0.00
 256  104444.9    90208.0   14236.9     91.4    0.6%   14145.5     0     0.00
 257  108730.6    89364.6   19366.0    107.1    0.6%   19258.9     0     0.00
 258   96464.5    92953.1    3511.3     43.6    1.2%    3467.7     0     0.00
 259   98332.1    94832.6    3499.5     51.4    1.5%    3448.1     0     0.00
 260  102828.2    94816.9    8011.2     71.2    0.9%    7940.0     0     0.00
 261   99395.1    95897.3    3497.7     53.1    1.5%    3444.6     0     0.00
 262  114748.3    95205.7   19542.7    110.3    0.6%   19432.4     0     0.00
 263  116892.0    95218.1   21673.9    115.9    0.5%   21558.0     0     0.00
 264  103873.2    95669.7    8203.5     65.4    0.8%    8138.1     0     0.00
 265   96950.0    93450.7    3499.3     46.5    1.3%    3452.8     0     0.00
 266   96677.0    93177.8    3499.3     46.5    1.3%    3452.8     0     0.00
 267  106869.3    93146.0   13723.3     85.5    0.6%   13637.8     0     0.00
 268   99991.9    93055.6    6936.4     63.7    0.9%    6872.7     0     0.00
 269   96701.5    93203.3    3498.2     46.0    1.3%    3452.2     0     0.00
 270   96085.2    92586.0    3499.1     47.3    1.4%    3451.8     0     0.00
 271  109765.0    93399.7   16365.3     92.4    0.6%   16272.9     0     0.00
 272   95739.1    92223.8    3515.3     47.4    1.3%    3467.9     0     0.00
 273  103399.9    92117.7   11282.1     75.4    0.7%   11206.7     0     0.00
 274  133250.6    90523.1   42727.5    143.7    0.3%   42583.8     0     0.00
 275   92832.3    89354.0    3478.3     46.4    1.3%    3431.9     0     0.00
 276  100038.5    89505.4   10533.0     68.2    0.6%   10464.8     0     0.00
 277  157707.9    89358.6   68349.3    211.2    0.3%   68138.1     0     0.00
 278  101049.2    91014.9   10034.2     66.6    0.7%    9967.6     0     0.00
 279   94493.0    91026.6    3466.4     45.7    1.3%    3420.8     0     0.00
 280  123517.8    90909.8   32608.0    113.0    0.3%   32494.9     0     0.00
 281  138237.3    91683.3   46554.0    148.7    0.3%   46405.3     0     0.00
 282   95273.6    91836.9    3436.7     42.1    1.2%    3394.6     0     0.00
 283  142096.2    89811.7   52284.5    183.2    0.4%   52101.3     0     0.00
 284  227937.7    89670.0  138267.7    391.2    0.3%  137876.5     0     0.00
 285  170296.8    89923.0   80373.8    235.9    0.3%   80137.9     0     0.00
 286  108262.5    95015.7   13246.8     58.7    0.4%   13188.1     0     0.00
 287   99424.3    95951.7    3472.6     45.4    1.3%    3427.2     0     0.00
 288  122159.8    95952.0   26207.8     89.8    0.3%   26117.9     0     0.00
 289   98202.1    94730.4    3471.7     44.6    1.3%    3427.2     0     0.00
 290  132789.3    93138.7   39650.6    123.2    0.3%   39527.4     0     0.00
 291   96119.7    92643.8    3475.8     42.7    1.2%    3433.1     0     0.00
 292   97039.2    93549.6    3489.6     43.3    1.2%    3446.4     0     0.00
 293   96949.0    93460.6    3488.4     42.2    1.2%    3446.2     0     0.00
 294   99092.0    95622.8    3469.2     46.1    1.3%    3423.1     0     0.00
 295   97878.2    94349.2    3529.0     46.1    1.3%    3482.9     0     0.00
 296  146882.9    94158.5   52724.4    154.1    0.3%   52570.3     0     0.00
 297  148357.0    93641.5   54715.5    159.3    0.3%   54556.2     0     0.00
 298  118940.4    93459.3   25481.0     81.2    0.3%   25399.9     0     0.00
 299   96893.2    93343.5    3549.7     41.8    1.2%    3507.9     0     0.00
 300  108880.2    98580.3   10299.8     58.6    0.6%   10241.3     0     0.00
 301  150511.1    98563.1   51948.0    164.4    0.3%   51783.6     0     0.00
 302  237950.6    98389.1  139561.4    402.4    0.3%  139159.0     0     0.00
 303  131872.6   108747.6   23125.0    115.6    0.5%   23009.4     0     0.00
 304  124450.2   108614.9   15835.3     74.2    0.5%   15761.1     0     0.00
 305  250243.0   110285.2  139957.8    407.2    0.3%  139550.6     0     0.00
 306  147236.8   116161.3   31075.4    113.4    0.4%   30962.0     0     0.00
 307  150597.6   115631.9   34965.7    123.8    0.4%   34841.9     0     0.00
 308  123792.6   115152.6    8640.0     56.1    0.6%    8583.9     0     0.00
 309  255250.8   115179.9  140070.9    434.9    0.3%  139636.0     0     0.00
 310  156405.5   114933.2   41472.3    144.3    0.3%   41327.9     0     0.00
 311  195830.0   114783.0   81047.0    242.0    0.3%   80805.0     0     0.00
 312  170602.9   120505.6   50097.3    169.8    0.3%   49927.5     0     0.00
 313  158487.5   121763.2   36724.3    134.1    0.4%   36590.2     0     0.00
 314  124426.1   120822.0    3604.1     62.5    1.7%    3541.6     0     0.00
 315  123306.8   119702.8    3604.1     62.4    1.7%    3541.6     0     0.00
 316  123159.9   119557.2    3602.7     61.7    1.7%    3540.9     0     0.00
 317  149839.7   119351.2   30488.5    111.0    0.4%   30377.5     0     0.00
 318  122530.5   118961.1    3569.4     61.2    1.7%    3508.2     0     0.00
 319  170255.3   119243.2   51012.0    168.0    0.3%   50844.0     0     0.00
 320  143206.1   118787.1   24419.0     92.7    0.4%   24326.3     0     0.00
 321  124187.0   118649.6    5537.4     67.1    1.2%    5470.3     0     0.00
 322  122181.9   118638.9    3543.1     61.2    1.7%    3481.8     0     0.00
 323  125096.6   121469.9    3626.7     61.3    1.7%    3565.4     0     0.00
 324  125060.4   121433.7    3626.7     61.2    1.7%    3565.4     0     0.00
 325  136157.9   121033.3   15124.6     68.9    0.5%   15055.7     0     0.00
 326  151239.3   120992.1   30247.3    111.4    0.4%   30135.9     0     0.00
 327  146937.8   121627.0   25310.8     79.3    0.3%   25231.5     0     0.00
 328  143230.1   121159.2   22071.0     68.2    0.3%   22002.8     0     0.00
 329  143058.9   139376.6    3682.3     43.1    1.2%    3639.2     0     0.00
 330  142309.0   138627.1    3681.9     42.9    1.2%    3638.9     0     0.00
 331  153376.1   141593.1   11783.1     71.9    0.6%   11711.2     0     0.00
 332  188531.0   141009.2   47521.8    156.1    0.3%   47365.7     0     0.00
 333  183712.9   140926.7   42786.2    142.8    0.3%   42643.4     0     0.00
 334  145113.2   140610.9    4502.2     45.9    1.0%    4456.3     0     0.00
 335  147186.3   139819.6    7366.7     54.9    0.7%    7311.8     0     0.00
 336  143495.7   139813.8    3682.0     42.3    1.1%    3639.7     0     0.00
 337  146017.6   142312.1    3705.6     66.8    1.8%    3638.8     0     0.00
 338  146508.2   142798.0    3710.2     66.0    1.8%    3644.2     0     0.00
 339  162405.9   143383.6   19022.2     86.1    0.5%   18936.2     0     0.00
 340  165337.5   141286.7   24050.7     98.8    0.4%   23952.0     0     0.00
